text,category,source
buy milk,grocery,synthetic
get vegetables,grocery,synthetic
need bread,grocery,synthetic
pick up eggs,grocery,synthetic
grab some fruits,grocery,synthetic
buy rice,grocery,synthetic
get sugar,grocery,synthetic
need cooking oil,grocery,synthetic
buy flour,grocery,synthetic
get cheese,grocery,synthetic
pick up butter,grocery,synthetic
need yogurt,grocery,synthetic
buy tea,grocery,synthetic
get coffee,grocery,synthetic
need dal,grocery,synthetic
buy onions,grocery,synthetic
get tomatoes,grocery,synthetic
pick up bananas,grocery,synthetic
need oranges,grocery,synthetic
buy apples,grocery,synthetic
get mangoes,grocery,synthetic
need potatoes,grocery,synthetic
buy pulses,grocery,synthetic
get snacks,grocery,synthetic
need biscuits,grocery,synthetic
buy juice,grocery,synthetic
get water bottles,grocery,synthetic
need cereal,grocery,synthetic
buy pasta,grocery,synthetic
get noodles,grocery,synthetic
need to pick up some groceries on the way home,grocery,synthetic
want to buy fresh vegetables for tonight's dinner,grocery,synthetic
need to restock some fruits and dairy items,grocery,synthetic
going to the supermarket to grab essentials,grocery,synthetic
picking up weekly groceries from the store,grocery,synthetic
need to buy some snacks and drinks for the weekend,grocery,synthetic
planning to get vegetables and fruits from the market,grocery,synthetic
quick grocery run for bread and eggs,grocery,synthetic
need to buy some cooking ingredients for the week,grocery,synthetic
grabbing a few items from the grocery store after work,grocery,synthetic
need to visit the supermarket for household supplies,grocery,synthetic
picking up some fresh produce and dairy products today,grocery,synthetic
want to shop for vegetables and grains at the market,grocery,synthetic
need to restock my pantry with dry goods and spices,grocery,synthetic
going to buy fruits vegetables and some packaged food,grocery,synthetic
need to pick up a few things from the nearby store like milk bread and eggs,grocery,synthetic
planning a big grocery run this weekend to stock up for the month,grocery,synthetic
want to grab some fresh vegetables fruits and maybe some yogurt from the market,grocery,synthetic
need to buy all the ingredients for a recipe I'm planning to cook this evening,grocery,synthetic
I've been running low on all the basics like rice lentils cooking oil and spices so need to shop,grocery,synthetic
planning to visit the local market to buy seasonal vegetables fruits and some household supplies,grocery,synthetic
I need to buy vegetables tomatoes onions and some dairy items like milk curd and paneer for cooking this week,grocery,synthetic
my kitchen supplies are running low and I need to stock up on rice wheat flour lentils and cooking essentials,grocery,synthetic
want to make a big batch of meals for the week so need all the fresh ingredients from the grocery store today,grocery,synthetic
I'm planning a dinner party and need to buy a lot of groceries including vegetables fruits drinks and snacks for everyone,grocery,synthetic
need to do a full grocery run because I've been too busy to shop and now I've run out of almost everything at home,grocery,synthetic
heading to the supermarket to pick up random things but definitely need vegetables milk bread and some household cleaning items,grocery,synthetic
I want to stock up on healthy snacks fruits and protein-rich foods from the store since I've started eating healthier,grocery,synthetic
need to buy everything from fresh produce to packaged goods and toiletries from the large supermarket near my area today,grocery,synthetic
buy medicine,pharmacy,synthetic
need tablets,pharmacy,synthetic
pick up prescription,pharmacy,synthetic
get painkillers,pharmacy,synthetic
need cough syrup,pharmacy,synthetic
buy vitamins,pharmacy,synthetic
get antibiotics,pharmacy,synthetic
need antacids,pharmacy,synthetic
buy bandages,pharmacy,synthetic
get eye drops,pharmacy,synthetic
need insulin,pharmacy,synthetic
buy sanitizer,pharmacy,synthetic
get face mask,pharmacy,synthetic
need thermometer,pharmacy,synthetic
buy hand wash,pharmacy,synthetic
need to pick up some medicine from the pharmacy,pharmacy,synthetic
going to get my prescription filled at the chemist,pharmacy,synthetic
need to buy some vitamins and health supplements,pharmacy,synthetic
picking up tablets my doctor prescribed yesterday,pharmacy,synthetic
need to go to the pharmacy for some cold medicine,pharmacy,synthetic
running out of my regular medication need to refill,pharmacy,synthetic
going to get some first aid supplies from the pharmacy,pharmacy,synthetic
need to buy some pain relief tablets and antiseptic,pharmacy,synthetic
